1	1083805	1283805
1	1609516	1720123
1	8668859	8812827
1	13245159	13429749
1	16880179	16998245
1	37714745	37826968
1	57288465	57408242
1	67485262	67607550
1	83274363	83403829
1	95469800	95527429
1	103956056	104113271
1	113251567	113304968
1	172735904	172836399
1	174297609	174457198
1	231322487	231474039
1	246754133	246932000
2	12826893	13583803
1	25510392	25559491
1	105861577	106036917
1	140903396	141765769
1	143597265	143807163
1	159789853	159821663
1	238429482	238461503
2	246711567	246857031
1	2446450	2478865
1	13082358	13084889
1	16760883	16764275
2	25445605	25544725
1	34862127	34887178
1	72507579	72595782
1	107175823	107206654
1	110025520	110054404
1	112491625	112512823
2	143586336	143624905
1	144036453	144068323
2	144061077	144091155
1	146476038	146477425
1	148088263	148119731
1	150449799	150453775
1	150816580	150875096
1	151013059	151040222
1	153502429	153508303
1	153511518	153514946
1	196739236	196754612
1	205763497	205805949
1	216247751	216282164
1	17845	167209
1	12066125	12263549
3	12959729	13300692
2	16795829	16882680
3	25415444	25562767
2	103979519	104094855
2	105789056	105959460
1	142206285	142356882
1	142690296	142785224
2	143673834	143791318
1	194936135	195082994
2	195063101	195221853
1	236817115	236819235
2	45257	76166
1	6717817	6720271
1	10292899	10301003
2	10297766	10301003
2	16887326	16890262
2	16891707	16908818
2	16908818	16923823
1	17097845	17126415
1	17126415	17137953
1	55496405	55497788
1	62211975	62215834
2	62214376	62215834
1	65946538	65951791
1	66030426	66041654
2	72540340	72550161
3	72540340	72561278
4	72542017	72549855
1	94910672	94915316
1	94923454	94925850
1	111180773	111182243
1	119924945	119929020
1	147390776	147392563
1	147507662	147509945
2	150835102	150847144
2	150824684	150828032
2	195004814	195025053
1	195882014	195968848
1	198365160	198371615
1	231303195	231308213
3	246851482	246860246
1	10628678	10640184
2	34876909	34880863
1	46092101	46130597
1	86175057	86177084
1	87409982	87412646
1	101784062	101786303
2	111180501	111189735
3	111180501	111184586
2	112497782	112505805
1	113409780	113416967
1	113884455	113897620
1	114609082	114610154
1	145161546	145301974
1	147308446	147356586
2	147333923	147425688
3	147333923	147382788
4	147333923	147411558
5	147314918	147377167
1	147377167	147387670
1	147484617	147505129
2	147495710	147507662
1	148945534	148947612
1	149010116	149059240
2	151030779	151033105
1	158929056	158941968
1	159887552	159901749
1	162527361	162589049
1	164097752	164106356
1	167114988	167155209
1	173064490	173068262
1	187978794	188036884
2	195059832	195062807
1	241125523	241131051
2	241128682	241130779
3	55871	68941
3	10297766	10301003
2	10628678	10640184
1	12783336	12790824
3	16884242	16896887
2	17126415	17137953
3	34876909	34880863
1	43689996	43706276
3	62214376	62215834
5	72540340	72579542
2	86175057	86177084
2	87409982	87412646
1	88089816	88098295
1	91563464	91573795
2	94910672	94925850
2	110030105	110037055
4	111180501	111184586
2	114609082	114610154
2	119924945	119929020
1	143864903	143883975
1	147467750	147484617
3	147495710	147509945
1	149585357	149611327
1	150346613	150350663
3	150821800	150850302
3	151027995	151036431
2	173064490	173068262
2	187978794	188048192
1	207188300	207192596
1	227888902	227894006
3	241125523	241131051
4	17845	167209
2	1483131	1637358
3	16795829	16882680
1	22014653	22219083
1	22954610	23135997
4	25415444	25562767
3	103979519	104094855
1	108593907	108752274
2	143852300	143999773
1	146578326	146719169
2	147955478	148102904
1	194526471	194685639
3	194936135	195082994
4	195063101	195221853
4	246768571	246944046
1	204922611	205124381
2	77822	1008567
3	1452629	1683586
1	3574901	3645396
1	7494050	7610646
4	12710993	13672044
1	14177669	14244987
1	16000067	16027694
4	16681281	17180745
1	25318097	25336438
1	30478922	30514243
1	31454967	32238918
1	38901188	38910242
1	53261152	53304705
1	55042239	55081197
1	72869688	72887793
1	75855996	75929574
1	77011006	77075473
1	77547602	77561050
1	81660005	81669334
2	83375945	83716816
3	94892378	94931191
1	102144927	102189681
3	105946185	106025589
1	106580566	106647676
1	107455508	107511243
1	111588918	111596256
1	111625374	111636507
3	112496617	112512047
3	113048153	116500791
3	119900184	119963965
3	142736050	144255274
1	144308473	144724627
6	146268901	148262603
2	149595418	149678259
1	150949332	151005850
2	159610879	159948176
1	160331092	160626632
1	163684150	163692160
1	164810166	164868402
1	168581705	168679916
1	176924205	176940697
1	183559820	183612394
1	187584244	187835170
3	188003456	188086110
1	188225729	188261835
1	190044143	190092375
1	191898151	191976819
1	193204702	193209527
1	194157865	194287158
5	194975846	195332697
1	198774133	198863600
1	206510145	206563741
1	208646146	208687402
1	210992052	211073020
1	221694997	221711029
1	223732317	223770108
1	229793717	229894664
1	234933459	234968987
1	235198734	235212541
1	236067692	236795121
1	237974043	238374770
4	241103290	241347508
1	244095202	244182625
1	245006479	245012644
1	245819957	246388939
5	246662304	246884005
5	377	988150
2	1189183	1309735
4	1314392	2014198
1	2366114	2370109
1	3278798	3538713
1	5189627	5459265
2	8810828	8839227
4	10160657	10505141
1	10665089	10977734
5	12521755	13749642
5	16636920	17356568
1	21608771	21815001
2	22095108	22285444
2	31494727	32129437
1	36392726	36659675
1	39997730	40433019
1	52898603	53061769
1	53691140	53801824
1	64449736	64548984
6	72514984	72698844
1	72954200	73079758
1	73385687	73548272
2	75759492	75960336
3	83101150	83780899
1	89184656	89333311
1	90592580	90755887
1	96188339	96318702
1	100132243	100270930
4	103762947	104253525
2	106562085	106683105
2	107285151	107642406
2	108420397	108898201
4	112958658	116542895
1	116966438	117076198
4	119818219	120016100
1	120068836	121047873
4	142642781	144194710
2	144339527	144479874
2	144594476	145164166
7	146151735	148257137
4	150739463	151164777
2	153361602	153581431
3	159672939	159890629
2	160342772	160769980
2	164758503	164917609
1	168048630	168151810
1	172077265	172222566
2	172735904	172836399
2	187513156	187915951
1	193522550	193846835
2	194070387	194386077
6	194857460	195228425
1	195244422	195436395
1	200834012	200990829
2	205624502	205991690
1	210714766	210909726
1	220362590	220524936
1	222001843	222429786
1	223154547	223319897
1	223471574	223593401
2	229691383	229982619
1	232939949	233194586
2	236008417	236834725
2	237832717	238456127
